order_id,supplier_id,total_emissions,budget,violation_type,compliance
O00449,S013,197.22000000000003,150,COMPLIANT,FAIL
O00450,S023,193.76,150,COMPLIANT,FAIL
O00452,S024,619.38,300,PROCESS_VIOLATION,FAIL
O00453,S048,766.01,150,COMPLIANT,FAIL
O00456,S014,380.6,250,COMPLIANT,FAIL
O00462,S009,261.23,250,COMPLIANT,FAIL
O00464,S049,193.0,150,PROCESS_VIOLATION,FAIL
O00465,S005,358.98,250,PROCESS_VIOLATION,FAIL
O00466,S018,455.37,250,CARBON_VIOLATION,FAIL
O00470,S014,226.6,150,COMPLIANT,FAIL
O00471,S003,223.17,150,COMPLIANT,FAIL
O00479,S006,307.94,300,COMPLIANT,FAIL
O00481,S005,656.58,250,COMPLIANT,FAIL
O00486,S045,723.65,250,CARBON_VIOLATION,FAIL
O00489,S042,501.26,300,COMPLIANT,FAIL
O00491,S045,723.65,250,COMPLIANT,FAIL
O00494,S025,857.7900000000001,150,DATA_QUALITY_ISSUE,FAIL
O00498,S047,603.63,250,COMPLIANT,FAIL
O00501,S045,354.65,150,COMPLIANT,FAIL
O00502,S015,262.96,150,COMPLIANT,FAIL
O00503,S044,197.76,150,COMPLIANT,FAIL
O00510,S002,444.78,150,CARBON_VIOLATION,FAIL
O00514,S016,317.7,250,CARBON_VIOLATION,FAIL
O00515,S005,191.58,150,COMPLIANT,FAIL
O00526,S005,321.78,300,COMPLIANT,FAIL
O00539,S003,455.37,250,COMPLIANT,FAIL
O00542,S023,193.76,150,COMPLIANT,FAIL
O00543,S015,262.96,150,COMPLIANT,FAIL
O00544,S050,188.57,150,COMPLIANT,FAIL
O00546,S009,502.83,300,PROCESS_VIOLATION,FAIL
O00550,S047,176.13,150,COMPLIANT,FAIL
O00552,S013,197.22000000000003,150,COMPLIANT,FAIL
O00554,S033,242.2,150,DATA_QUALITY_ISSUE,FAIL
O00555,S003,223.17,150,COMPLIANT,FAIL
O00557,S017,826.02,150,COMPLIANT,FAIL
O00558,S012,208.27,150,CARBON_VIOLATION,FAIL
O00559,S026,269.88,250,COMPLIANT,FAIL
O00563,S003,455.37,250,CARBON_VIOLATION,FAIL
O00564,S041,174.73,150,DATA_QUALITY_ISSUE,FAIL
O00567,S047,603.63,250,COMPLIANT,FAIL
O00568,S023,395.36,300,COMPLIANT,FAIL
O00571,S024,321.78,250,COMPLIANT,FAIL
O00572,S044,677.76,150,DATA_QUALITY_ISSUE,FAIL
O00573,S044,332.16,250,COMPLIANT,FAIL
O00576,S014,776.6,150,COMPLIANT,FAIL
O00577,S049,193.0,150,PROCESS_VIOLATION,FAIL
O00579,S009,261.23,250,COMPLIANT,FAIL
O00582,S005,656.58,300,DATA_QUALITY_ISSUE,FAIL
O00583,S005,656.58,300,DATA_QUALITY_ISSUE,FAIL
O00584,S048,766.01,150,COMPLIANT,FAIL
O00586,S011,200.68,150,COMPLIANT,FAIL
O00587,S045,211.15,150,COMPLIANT,FAIL
O00588,S022,504.79,250,COMPLIANT,FAIL
O00591,S010,174.73,150,COMPLIANT,FAIL
O00592,S016,155.7,150,COMPLIANT,FAIL
O00593,S026,160.68,150,COMPLIANT,FAIL
O00599,S028,166.08,150,COMPLIANT,FAIL
O00601,S003,223.17,150,COMPLIANT,FAIL
O00603,S047,603.63,300,COMPLIANT,FAIL
O00605,S005,656.58,300,CARBON_VIOLATION,FAIL
O00606,S017,826.02,150,COMPLIANT,FAIL
O00607,S033,494.2,250,CARBON_VIOLATION,FAIL
O00609,S042,501.26,150,CARBON_VIOLATION,FAIL
O00613,S048,223.51,150,COMPLIANT,FAIL
O00623,S025,201.69,150,PROCESS_VIOLATION,FAIL
O00627,S024,656.58,150,COMPLIANT,FAIL
O00629,S047,637.8299999999999,250,PROCESS_VIOLATION,FAIL
O00634,S018,223.17,150,COMPLIANT,FAIL
O00635,S037,455.37,250,CARBON_VIOLATION,FAIL
O00636,S006,628.34,250,CARBON_VIOLATION,FAIL
O00637,S025,857.7900000000001,150,DATA_QUALITY_ISSUE,FAIL
O00639,S036,373.68,250,COMPLIANT,FAIL
O00643,S014,776.6,150,CARBON_VIOLATION,FAIL
O00644,S030,166.08,150,COMPLIANT,FAIL
O00648,S025,250.29,250,COMPLIANT,FAIL
O00652,S025,857.7900000000001,250,DATA_QUALITY_ISSUE,FAIL
O00653,S036,762.48,250,COMPLIANT,FAIL
O00656,S010,356.53,150,COMPLIANT,FAIL
O00657,S025,857.7900000000001,250,COMPLIANT,FAIL
O00659,S016,155.7,150,COMPLIANT,FAIL
O00665,S002,444.78,250,COMPLIANT,FAIL
O00667,S026,269.88,150,COMPLIANT,FAIL
O00668,S045,723.65,150,COMPLIANT,FAIL
O00675,S037,223.17,150,COMPLIANT,FAIL
O00676,S002,444.78,150,CARBON_VIOLATION,FAIL
O00681,S017,826.02,150,CARBON_VIOLATION,FAIL
O00686,S024,321.78,150,COMPLIANT,FAIL
O00690,S019,218.86,150,CARBON_VIOLATION,FAIL
O00692,S026,269.88,250,COMPLIANT,FAIL
O00693,S045,723.65,250,COMPLIANT,FAIL
O00694,S002,217.98,150,COMPLIANT,FAIL
O00695,S047,295.83,250,DATA_QUALITY_ISSUE,FAIL
O00700,S024,656.58,250,COMPLIANT,FAIL
O00705,S013,174.42000000000002,150,PROCESS_VIOLATION,FAIL
O00707,S044,332.16,150,COMPLIANT,FAIL
O00708,S015,262.96,250,COMPLIANT,FAIL
O00711,S024,321.78,300,COMPLIANT,FAIL
O00715,S024,656.58,300,COMPLIANT,FAIL
O00717,S026,269.88,250,COMPLIANT,FAIL
O00720,S006,307.94,150,COMPLIANT,FAIL
O00722,S014,776.6,150,COMPLIANT,FAIL
O00723,S014,776.6,150,COMPLIANT,FAIL
O00726,S042,174.66,150,PROCESS_VIOLATION,FAIL
O00728,S037,223.17,150,COMPLIANT,FAIL
O00729,S024,321.78,150,COMPLIANT,FAIL
O00730,S045,211.15,150,COMPLIANT,FAIL
O00734,S048,223.51,150,COMPLIANT,FAIL
O00741,S028,166.08,150,COMPLIANT,FAIL
O00742,S048,375.41,250,COMPLIANT,FAIL
O00747,S003,223.17,150,COMPLIANT,FAIL
O00749,S049,173.0,150,COMPLIANT,FAIL
O00752,S036,805.68,300,PROCESS_VIOLATION,FAIL
O00754,S017,826.02,150,COMPLIANT,FAIL
O00755,S011,177.48,150,PROCESS_VIOLATION,FAIL
O00758,S005,284.58,250,PROCESS_VIOLATION,FAIL
O00763,S002,217.98,150,COMPLIANT,FAIL
O00771,S004,243.93,150,COMPLIANT,FAIL
O00776,S001,317.7,150,CARBON_VIOLATION,FAIL
O00777,S002,444.78,250,CARBON_VIOLATION,FAIL
O00790,S014,226.6,150,COMPLIANT,FAIL
O00791,S034,296.52,250,CARBON_VIOLATION,FAIL
O00793,S022,247.39,150,COMPLIANT,FAIL
O00794,S006,307.94,300,DATA_QUALITY_ISSUE,FAIL
O00796,S044,677.76,300,COMPLIANT,FAIL
O00797,S014,380.6,250,COMPLIANT,FAIL
O00799,S041,174.73,150,COMPLIANT,FAIL
O00801,S029,160.89,150,COMPLIANT,FAIL
O00803,S014,380.6,300,COMPLIANT,FAIL
O00804,S018,223.17,150,COMPLIANT,FAIL
O00809,S045,682.65,150,PROCESS_VIOLATION,FAIL
O00810,S048,766.01,300,COMPLIANT,FAIL
O00815,S004,243.93,150,COMPLIANT,FAIL
O00822,S017,826.02,150,COMPLIANT,FAIL
O00823,S018,455.37,150,CARBON_VIOLATION,FAIL
O00824,S036,373.68,300,COMPLIANT,FAIL
O00826,S009,155.53,150,DATA_QUALITY_ISSUE,FAIL
O00829,S032,152.24,150,COMPLIANT,FAIL
O00834,S022,504.79,250,COMPLIANT,FAIL
O00844,S017,826.02,250,COMPLIANT,FAIL
O00850,S031,257.69,250,COMPLIANT,FAIL
O00853,S027,164.35,150,COMPLIANT,FAIL
O00854,S025,857.7900000000001,150,COMPLIANT,FAIL
O00859,S044,332.16,300,COMPLIANT,FAIL
O00864,S003,248.97,150,PROCESS_VIOLATION,FAIL
O00866,S007,179.92,150,COMPLIANT,FAIL
O00869,S008,201.21,150,CARBON_VIOLATION,FAIL
O00872,S031,257.69,250,CARBON_VIOLATION,FAIL
O00874,S017,404.8200000000001,250,COMPLIANT,FAIL
O00875,S024,321.78,250,COMPLIANT,FAIL
O00876,S025,857.7900000000001,150,DATA_QUALITY_ISSUE,FAIL
O00883,S027,335.35,150,CARBON_VIOLATION,FAIL
O00888,S009,261.23,150,COMPLIANT,FAIL
O00889,S014,380.6,250,COMPLIANT,FAIL
O00891,S041,174.73,150,DATA_QUALITY_ISSUE,FAIL
O00895,S045,354.65,250,COMPLIANT,FAIL
O00896,S036,762.48,150,COMPLIANT,FAIL
O00897,S003,455.37,150,COMPLIANT,FAIL
O00900,S013,197.22000000000003,150,COMPLIANT,FAIL
O00902,S001,155.7,150,COMPLIANT,FAIL
O00905,S017,872.82,150,PROCESS_VIOLATION,FAIL
O00906,S024,321.78,150,COMPLIANT,FAIL
O00907,S016,317.7,250,COMPLIANT,FAIL
O00913,S045,723.65,300,CARBON_VIOLATION,FAIL
O00919,S003,223.17,150,DATA_QUALITY_ISSUE,FAIL
O00923,S014,380.6,300,COMPLIANT,FAIL
O00926,S006,628.34,150,COMPLIANT,FAIL
O00927,S028,338.88,250,COMPLIANT,FAIL
O00931,S004,497.73,300,COMPLIANT,FAIL
O00937,S027,164.35,150,COMPLIANT,FAIL
O00939,S049,173.0,150,COMPLIANT,FAIL
O00940,S014,776.6,300,COMPLIANT,FAIL
O00942,S044,332.16,250,COMPLIANT,FAIL
O00944,S045,354.65,250,COMPLIANT,FAIL
O00947,S001,155.7,150,COMPLIANT,FAIL
O00955,S049,173.0,150,COMPLIANT,FAIL
O00958,S048,375.41,250,COMPLIANT,FAIL
O00961,S009,155.53,150,COMPLIANT,FAIL
O00964,S026,269.88,150,COMPLIANT,FAIL
O00966,S005,321.78,250,COMPLIANT,FAIL
O00971,S027,164.35,150,COMPLIANT,FAIL
O00983,S045,211.15,150,COMPLIANT,FAIL
O00985,S007,179.92,150,COMPLIANT,FAIL
O00987,S003,223.17,150,COMPLIANT,FAIL
O01000,S005,321.78,300,COMPLIANT,FAIL
O01001,S028,166.08,150,COMPLIANT,FAIL
O01002,S002,444.78,150,CARBON_VIOLATION,FAIL
O01003,S025,857.7900000000001,300,COMPLIANT,FAIL
O01009,S016,155.7,150,COMPLIANT,FAIL
O01012,S013,197.22000000000003,150,COMPLIANT,FAIL
O01013,S041,356.53,150,CARBON_VIOLATION,FAIL
O01025,S013,197.22000000000003,150,COMPLIANT,FAIL
O01026,S009,533.03,150,CARBON_VIOLATION,FAIL
O01028,S044,677.76,150,COMPLIANT,FAIL
O01030,S045,723.65,150,COMPLIANT,FAIL
O01038,S026,269.88,250,COMPLIANT,FAIL
O01052,S006,343.54,150,PROCESS_VIOLATION,FAIL
O01054,S003,455.37,150,COMPLIANT,FAIL
O01059,S045,723.65,150,COMPLIANT,FAIL
O01060,S014,380.6,150,COMPLIANT,FAIL
O01061,S017,404.8200000000001,150,COMPLIANT,FAIL
O01062,S010,356.53,150,CARBON_VIOLATION,FAIL
O01069,S006,183.34,150,DATA_QUALITY_ISSUE,FAIL
O01074,S026,519.48,300,PROCESS_VIOLATION,FAIL
O01076,S001,155.7,150,COMPLIANT,FAIL
O01079,S013,402.42,150,COMPLIANT,FAIL
O01082,S044,332.16,150,COMPLIANT,FAIL
O01083,S004,497.73,150,COMPLIANT,FAIL
O01084,S025,857.7900000000001,300,COMPLIANT,FAIL
O01085,S017,826.02,300,DATA_QUALITY_ISSUE,FAIL
O01093,S005,321.78,250,COMPLIANT,FAIL
O01095,S023,193.76,150,COMPLIANT,FAIL
O01106,S020,197.68,150,COMPLIANT,FAIL
O01110,S016,155.7,150,COMPLIANT,FAIL
O01112,S025,857.7900000000001,250,DATA_QUALITY_ISSUE,FAIL
O01118,S014,776.6,300,COMPLIANT,FAIL
O01119,S006,218.94,150,PROCESS_VIOLATION,FAIL
O01120,S049,353.0,250,COMPLIANT,FAIL
O01121,S006,307.94,150,COMPLIANT,FAIL
O01123,S049,173.0,150,COMPLIANT,FAIL
O01125,S013,197.22000000000003,150,COMPLIANT,FAIL
O01128,S025,857.7900000000001,150,CARBON_VIOLATION,FAIL
O01134,S013,402.42,300,CARBON_VIOLATION,FAIL
O01139,S032,152.24,150,COMPLIANT,FAIL
O01144,S037,455.37,250,COMPLIANT,FAIL
O01147,S044,677.76,250,CARBON_VIOLATION,FAIL
O01150,S041,174.73,150,COMPLIANT,FAIL
O01153,S040,211.8,150,COMPLIANT,FAIL
O01155,S017,826.02,300,COMPLIANT,FAIL
O01157,S017,404.8200000000001,250,COMPLIANT,FAIL
O01158,S024,191.58,150,DATA_QUALITY_ISSUE,FAIL
O01159,S043,250.63,150,CARBON_VIOLATION,FAIL
O01161,S022,504.79,300,CARBON_VIOLATION,FAIL
O01162,S036,762.48,300,COMPLIANT,FAIL
O01167,S050,210.37,150,PROCESS_VIOLATION,FAIL
O01173,S007,367.12,150,COMPLIANT,FAIL
O01177,S005,656.58,250,COMPLIANT,FAIL
O01181,S048,223.51,150,COMPLIANT,FAIL
O01183,S026,550.6800000000001,300,CARBON_VIOLATION,FAIL
O01193,S023,395.36,150,CARBON_VIOLATION,FAIL
O01198,S050,188.57,150,COMPLIANT,FAIL
O01199,S047,603.63,250,COMPLIANT,FAIL
O01203,S026,191.88,150,PROCESS_VIOLATION,FAIL
O01207,S009,261.23,150,COMPLIANT,FAIL
O01209,S002,217.98,150,COMPLIANT,FAIL
O01217,S025,250.29,250,COMPLIANT,FAIL
O01218,S003,223.17,150,COMPLIANT,FAIL
O01220,S010,174.73,150,COMPLIANT,FAIL
O01221,S044,677.76,150,COMPLIANT,FAIL
O01226,S046,208.27,150,CARBON_VIOLATION,FAIL
O01228,S009,261.23,250,COMPLIANT,FAIL
O01229,S024,321.78,250,COMPLIANT,FAIL
O01230,S033,242.2,150,COMPLIANT,FAIL
O01234,S017,404.8200000000001,250,COMPLIANT,FAIL
O01237,S044,677.76,250,COMPLIANT,FAIL
O01238,S036,373.68,150,COMPLIANT,FAIL
O01243,S014,226.6,150,COMPLIANT,FAIL
O01244,S014,776.6,150,COMPLIANT,FAIL
O01255,S021,190.3,150,COMPLIANT,FAIL
O01264,S025,857.7900000000001,150,CARBON_VIOLATION,FAIL
O01267,S023,395.36,300,COMPLIANT,FAIL
O01270,S033,494.2,250,CARBON_VIOLATION,FAIL
O01271,S002,444.78,150,CARBON_VIOLATION,FAIL
O01273,S022,247.39,150,COMPLIANT,FAIL
O01274,S025,857.7900000000001,300,DATA_QUALITY_ISSUE,FAIL
O01278,S033,242.2,150,COMPLIANT,FAIL
O01284,S044,197.76,150,COMPLIANT,FAIL
O01289,S003,455.37,300,CARBON_VIOLATION,FAIL
O01292,S015,262.96,150,COMPLIANT,FAIL
O01299,S024,321.78,300,COMPLIANT,FAIL
O01300,S015,262.96,250,COMPLIANT,FAIL
O01301,S024,321.78,250,COMPLIANT,FAIL
O01304,S025,857.7900000000001,300,CARBON_VIOLATION,FAIL
O01308,S028,166.08,150,COMPLIANT,FAIL
O01310,S022,504.79,300,DATA_QUALITY_ISSUE,FAIL
O01311,S024,191.58,150,COMPLIANT,FAIL
O01312,S009,261.23,150,COMPLIANT,FAIL
O01313,S005,321.78,300,COMPLIANT,FAIL
O01314,S004,243.93,150,COMPLIANT,FAIL
O01315,S024,321.78,300,COMPLIANT,FAIL
O01319,S010,174.73,150,COMPLIANT,FAIL
O01324,S015,262.96,250,COMPLIANT,FAIL
O01325,S025,857.7900000000001,300,COMPLIANT,FAIL
O01327,S044,197.76,150,COMPLIANT,FAIL
O01332,S049,173.0,150,COMPLIANT,FAIL
O01336,S025,857.7900000000001,150,COMPLIANT,FAIL
O01337,S018,455.37,250,CARBON_VIOLATION,FAIL
O01338,S005,321.78,150,COMPLIANT,FAIL
O01341,S006,628.34,300,COMPLIANT,FAIL
O01345,S036,762.48,150,COMPLIANT,FAIL
O01346,S025,857.7900000000001,150,COMPLIANT,FAIL
O01348,S006,272.34000000000003,250,PROCESS_VIOLATION,FAIL
O01350,S010,174.73,150,COMPLIANT,FAIL
O01351,S005,321.78,300,COMPLIANT,FAIL
O01352,S042,501.26,300,COMPLIANT,FAIL
O01356,S002,154.98,150,PROCESS_VIOLATION,FAIL
O01357,S047,295.83,250,COMPLIANT,FAIL
O01358,S025,857.7900000000001,250,COMPLIANT,FAIL
O01360,S015,262.96,250,COMPLIANT,FAIL
O01362,S025,857.7900000000001,150,COMPLIANT,FAIL
O01364,S049,173.0,150,COMPLIANT,FAIL
O01367,S017,826.02,250,CARBON_VIOLATION,FAIL
O01368,S014,776.6,250,DATA_QUALITY_ISSUE,FAIL
O01374,S045,354.65,250,COMPLIANT,FAIL
O01375,S023,395.36,250,CARBON_VIOLATION,FAIL
O01376,S044,677.76,150,COMPLIANT,FAIL
O01379,S024,284.58,250,PROCESS_VIOLATION,FAIL
O01382,S047,603.63,300,COMPLIANT,FAIL
O01386,S026,160.68,150,COMPLIANT,FAIL
O01391,S044,332.16,300,COMPLIANT,FAIL
O01393,S014,776.6,250,DATA_QUALITY_ISSUE,FAIL
O01399,S045,723.65,300,COMPLIANT,FAIL
O01400,S047,603.63,250,COMPLIANT,FAIL
O01403,S026,269.88,150,COMPLIANT,FAIL
O01405,S047,176.13,150,COMPLIANT,FAIL
O01408,S018,455.37,300,CARBON_VIOLATION,FAIL
O01409,S024,321.78,150,COMPLIANT,FAIL
O01414,S018,455.37,150,COMPLIANT,FAIL
O01416,S010,174.73,150,COMPLIANT,FAIL
O01425,S026,550.6800000000001,300,COMPLIANT,FAIL
O01426,S011,409.48,150,CARBON_VIOLATION,FAIL
O01429,S005,191.58,150,COMPLIANT,FAIL
O01437,S001,155.7,150,COMPLIANT,FAIL
O01438,S025,857.7900000000001,250,DATA_QUALITY_ISSUE,FAIL
O01440,S030,166.08,150,COMPLIANT,FAIL
O01446,S003,223.17,150,COMPLIANT,FAIL
O01447,S026,269.88,250,COMPLIANT,FAIL
O01448,S045,723.65,300,COMPLIANT,FAIL
O01449,S044,677.76,250,COMPLIANT,FAIL
O01453,S018,455.37,150,CARBON_VIOLATION,FAIL
O01456,S004,243.93,150,COMPLIANT,FAIL
O01459,S044,332.16,250,COMPLIANT,FAIL
O01463,S045,723.65,250,CARBON_VIOLATION,FAIL
O01465,S037,223.17,150,COMPLIANT,FAIL
O01468,S039,236.51,150,CARBON_VIOLATION,FAIL
O01472,S037,248.97,150,PROCESS_VIOLATION,FAIL
O01480,S005,191.58,150,COMPLIANT,FAIL
O01486,S015,262.96,250,COMPLIANT,FAIL
O01488,S023,395.36,250,CARBON_VIOLATION,FAIL
O01489,S036,762.48,150,COMPLIANT,FAIL
O01493,S028,166.08,150,COMPLIANT,FAIL
O01495,S017,404.8200000000001,300,COMPLIANT,FAIL
O01496,S027,335.35,250,COMPLIANT,FAIL
O01501,S013,197.22000000000003,150,COMPLIANT,FAIL
O01502,S009,185.73,150,PROCESS_VIOLATION,FAIL
O01503,S005,321.78,150,COMPLIANT,FAIL
O01504,S005,228.78,150,PROCESS_VIOLATION,FAIL
O01505,S017,826.02,150,COMPLIANT,FAIL
O01508,S025,250.29,150,COMPLIANT,FAIL
O01509,S007,179.92,150,COMPLIANT,FAIL
O01510,S003,455.37,300,COMPLIANT,FAIL
O01515,S044,677.76,150,COMPLIANT,FAIL
O01519,S006,183.34,150,COMPLIANT,FAIL
O01520,S014,226.6,150,COMPLIANT,FAIL
